Match_id,season,city,date,team1,team2,toss_win,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,match_refree,reserve_umpire,tv_umpire,umpire1,umpire2
86,2018,Pune,2018-04-28,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RG Sharma,Maharashtra Cricket Association Stadium,V Narayan Kutty,HAS Khalid,AY Dandekar,CB Gaffaney,Nitin Menon
87,2018,Jaipur,2018-04-29,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,11,0,KS Williamson,Sawai Mansingh Stadium,AJ Pycroft,GR Sadashiv Iyer,S Ravi,BNJ Oxenford,A Nand Kishore
88,2018,Bengaluru,2018-04-29,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,CA Lynn,M.Chinnaswamy Stadium,M Nayyar,R Pandit,VK Sharma,AK Chaudhary,NJ Llong
89,2018,Pune,2018-04-30,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,13,0,SR Watson,Maharashtra Cricket Association Stadium,V Narayan Kutty,HAS Khalid,CK Nandan,AY Dandekar,C Shamshuddin
90,2018,Bengaluru,2018-05-01,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,14,0,TG Southee,M.Chinnaswamy Stadium,J Srinath,N Pandit,YC Barde,M Erasmus,Nitin Menon
91,2018,Delhi,2018-05-02,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,D/L,Delhi Daredevils,4,0,RR Pant,Arun Jaitley Stadium,AJ Pycroft,GR Sadashiv Iyer,BNJ Oxenford,CK Nandan,VK Sharma
92,2018,Kolkata,2018-05-03,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens,V Narayan Kutty,R Pandit,AK Chaudhary,A Deshmukh,HDPK Dharmasena
93,2018,Indore,2018-05-04,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,SA Yadav,Holkar Cricket Stadium,M Nayyar,HAS Khalid,C Shamshuddin,AY Dandekar,S Ravi
94,2018,Pune,2018-05-05,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,RA Jadeja,Maharashtra Cricket Association Stadium,J Srinath,N Pandit,M Erasmus,Nitin Menon,YC Barde
95,2018,Hyderabad,2018-05-05,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,7,Rashid Khan,Rajiv Gandhi International Stadium,AJ Pycroft,GR Sadashiv Iyer,VK Sharma,BNJ Oxenford,CK Nandan
96,2018,Mumbai,2018-05-06,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,13,0,HH Pandya,Wankhede Stadium,V Narayan Kutty,R Pandit,AK Chaudhary,A Deshmukh,HDPK Dharmasena
97,2018,Indore,2018-05-06,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,Mujeeb Ur Rahman,Holkar Cricket Stadium,M Nayyar,HAS Khalid,AY Dandekar,C Shamshuddin,S Ravi
98,2018,Hyderabad,2018-05-07,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,5,0,KS Williamson,Rajiv Gandhi International Stadium,AJ Pycroft,GR Sadashiv Iyer,CK Nandan,BNJ Oxenford,VK Sharma
